business_id,lattitude,longitude
vcNAWiLM4dR7D2nwwJ7nCA,-111.983758,33.499313
JwUE5GmEO-sH1FuwJgKBlQ,-89.335844,43.238893
uGykseHzyS5xAMWoN6YUqA,-89.353437,43.252267
LRKJF43s9-3jG9Lgx4zODg,-89.374983,43.251045
RgDg-k9S5YD_BaxMckifkg,-89.3437217,43.2408748
oLctHIA1AxmsgOuu4dM6Vw,-89.3229199,42.9685074
ZW2WeP2Hp20tq0RG1NFkoQ,-89.2985442,43.0303561
95p9Xg358BezJyk1wqzzyg,-89.294175,43.014093
rdAdANPNOcvUtoFgcaY9KA,-89.3061344,43.0256436
ZlhAvs_6ryi4_efZ1SpMbg,-89.299119,43.017124
_wZTYYL7cutanzAnJUTGMA,-89.303789,43.017701
XrzTVrJAjs0yYLvhFI9vkQ,-89.285206,43.015931
1tkeiIa-daD8LbM6mHm_9A,-89.3021641,43.0131557
zOc8lbjViUZajbY7M0aUCQ,-89.288567,43.014164
UgjVZTSOaYoEvws_lAP_Dw,-89.2986278,43.0179387
HxPpZSY6Q1eARuiahhra6A,-89.4918,43.093265
SKLw05kEIlZcpTD5pqma8Q,-89.485169,43.090642
77ESrCo7hQ96VpCWWdvoxg,-89.4874867,43.0910607
9brW55Vzyi3ItboHWfoepg,-89.5099781,43.1115337
368m5-RtrrYWf4hPM_bMlg,-89.5264281,43.1101571
YjoSdr8uJslIebsQP6c18w,-89.527273,43.077415
rKNtd_M2kWDW8sQKYzetKA,-89.516038,43.096271
x7xS2DJvu8klyNzcpN8QHg,-89.4860822,43.1030719
KTqNU4plO23583DYAMGXYg,-89.4862189,43.1003841
cgCqxPhadIAlsqnD1MoWuQ,-89.5235246,43.0954975
YDUB7-NgjKEFn8CERLoKXQ,-89.5277025,43.0929029
x7pStpT09Tdc8d7oRU0Tmw,-89.52845,43.091816
1-EIdeHewfEVcpoZm38N8A,-89.513737,43.096359
MKsb2VpLB-0UBODcInDsSw,-89.5006856,43.0970483
ShEYKerTwb2LSORE5o_s7A,-89.496995,43.107227
HaBkx5PwvbBpQ2iNCgHnVQ,-89.5111616,43.1014598
KW6HejC-67KSL9J8Cz1dSw,-89.5284801808,43.0753452677
wl-7A4jC0f27MOEmW-XTbQ,-89.4864907,43.1036633
NGj-_5pkHc_DbH5bKUH2Xw,-89.511068,43.100808
suQyHycqv8nA7EualcUB3g,-89.5241674,43.0905631
3jpKGDkFrCHpjEYVEgcG0A,-89.5256818,43.0904559
AYoLKzRFajucKnjIFxc__A,-89.5235823,43.0954855
c5awCF5eu0ZkxUf_i94uPA,-89.491807,43.103427
GHvLvSN_imiXxqsgFPskWA,-89.4876798,43.1031224
uga5g16PncJOtY7Sc3A05w,-89.5250779,43.090653
9874O-3GjXPotxYKNNAz5Q,-89.5022518,43.082611
naqkXvhoqljvA7kuo15gEw,-89.5233883,43.0901268
xbJ9tdGbcVJIUkNgHSCwZQ,-89.5128222,43.095696
koRLvzIl-4fCybOIdk56jA,-89.5110574,43.0955526
ckLRf3lYn9DxmNxd-mu2yA,-89.523172,43.087887
Bznf9AaGgdsLI01H_ifrUA,-89.511857,43.1083799
YaaQx4qt1f36iFT4TWivAw,-89.51178,43.1060972
MBQc_jlZ3nlMOZy7SUM_5Q,-89.525484,43.092882
yuIcDVSy03FQe1RWhicDQw,-89.4864822,43.1020783
cruBFtsFaBuhX_I72uU8pA,-89.4949208,43.0955472
X47o6R2rWiqGqvBtC7VS3Q,-89.511243,43.0999335
_tnYCShXuDlXjNVNctTkCA,-89.4904366,43.0926846
elBgDynz6UPoSqQgxiggJw,-89.4971837,43.1077693
lN-5-YTsaJr_IByyA476iw,-89.4997902,43.0969474
yNayFIJemmt-J3fNvmwuKA,-89.5092899,43.094959
IEmqrFe96NOhU07TA0rZdw,-89.4944219,43.104535
LOp0ciu7XhZwTqZUWG8qCw,-89.5277451,43.0994184
O16EckCLtNoA49hewGht_w,-89.493464,43.095357
8MqyXoay37xSmlUKjYv1XA,-89.4950894,43.097044
KFJ1jBfFkRfyn3AoAUl3YQ,-89.5160417,43.0976883
h8sRoUSjulDu9MfeUTEu6Q,-89.5586484,43.0570227
JfBxZQCRtPoNewr6QM8Hng,-89.5277025,43.0929029
G1qUGBNYNS220jKlPAlFsA,-89.5120419,43.095724
oJUAJ6uqMbFYJjtPjanjRg,-89.5271245,43.075383
xm1RtU63jxjYsm-7dzGaZA,-89.5093171,43.0570899
6oDZ78JiSKjXVLcurCpnhw,-89.5021602,43.0844596
vnwpKCeTrmt3FgMrE7AM-w,-89.5280385,43.0749226
kiAsweI4sOjDzGyz3Y_HsQ,-89.5113122,43.1062742
qNBvH111qgJgLYUScbph7g,-89.5101213455,43.1092183292
mbtGl2I2A2To-8jiggN99g,-89.497265,43.0966499
q8fD82us6uuGufvI44NoAg,-89.5109658,43.0955423
oc0rCahXOaJeHLzzDdSfyA,-89.513737,43.096359
Nj0vQjUYjaa7qbvZlEr2jQ,-89.4949394,43.0968907
ugGTR2EvJ0c_-TpMS1LSNw,-89.4933701,43.0947544
B0Vuwn6Hugc-0U5n31YBfg,-89.48674,43.102896
pwHZ5uUB3cWis9O-L__hdA,-89.5253382,43.09384
wVFxEPUy0Pcjr4GI5Cbr4Q,-89.4707159,43.1136024
vknZxEFCHOMidG0OJKYekA,-89.5112867653,43.1052072794
Za25Zmt4pmc2WQ2eJaa1fQ,-89.5036373,43.1156067
Wn8NhS-L1ck6jbTjX88Kkg,-89.51625,43.094876
bMnr4RK5HEFvpuuxB5xRoA,-89.4957363,43.0961424
uyp8kpTXKfKXvAB8HdJSAA,-89.5104646683,43.1109151584
3zD6rxB92Mr0jb-LoYFFWw,-89.2275279,43.1876921
OC8AUJshLVimn_-P_INvJw,-89.2185271,43.1832772
JGa7YehwC9UzpPQF8-pMeQ,-89.2340467,43.1798191
xLmC8OBxrfPkJCC1HzeNhg,-89.23571,43.175676
2pmMehsVKnwhgWPSOxrkjA,-89.2287907,43.1876509
NDAxF0_RCZBQedVO_d5WnA,-89.2304766,43.1807862
eptljN50_4BpIwc2Op_A_A,-89.241085,43.1783069
u2suyhwZNjBkGDHKQ2uJOA,-89.226643,43.187917
Xp7OA8gz7zDgB3I54jyb4g,-89.2255538,43.1822682
5uxhIGZlJm9g_zfG_83z5Q,-89.2482454,43.1753813
yV-eB-pQVeWE7W-WPC8BUg,-89.230853,43.188072
rwerz1huEtiGR97ijEYeBQ,-89.2260475,43.2241678
unMqU0OrlniCOKZIoQHb0A,-89.231699,43.186768
h_lhVizdHBJOVNAIgTB3eQ,-89.2255595,43.1941768
O9j6UX2LHdszkExzJ-v-BA,-89.2124176025,43.1836504964
tZbKiggbDGeBpGnOYk0Syw,-89.245982,43.174517
MlWXHxdbIODf9GUcvUTfGQ,-89.2308961,43.1867059
yrtaaA32fCMh6A-DcGAnrg,-89.2100449,43.1798042
RIsEPpt2jM7c_Ko_CyLwMw,-89.225254,43.1824889
AnNk4SGK3bKtnvrOajhpug,-89.192955,43.205895
Bw0_JDQnZeYf-2xTCpVEHA,-89.211321,43.195821
